Printout for SDDS file injector_cryo.s

       s              Sx             Sy            ecnx           ecny     
       m              m              m              m              m       
---------------------------------------------------------------------------
  1.395162e+01   7.390628e-05   6.450063e-05   5.246834e-07   4.903448e-07 
  1.539426e+01   1.411827e-04   1.547932e-04   5.246834e-07   4.903448e-07 
  1.539426e+01   1.411827e-04   1.547932e-04   5.246834e-07   4.903448e-07 
  1.551223e+01   1.311596e-04   1.443118e-04   5.247769e-07   4.904439e-07 
  1.562766e+01   1.224210e-04   1.350757e-04   5.248436e-07   4.905087e-07 
  1.574309e+01   1.147592e-04   1.269165e-04   5.248932e-07   4.905528e-07 
  1.585852e+01   1.079541e-04   1.196197e-04   5.249317e-07   4.905839e-07 
  1.597395e+01   1.018480e-04   1.130291e-04   5.249624e-07   4.906064e-07 
  1.608938e+01   9.632450e-05   1.070284e-04   5.249874e-07   4.906230e-07 
  1.620481e+01   9.129549e-05   1.015284e-04   5.250082e-07   4.906353e-07 
  1.632024e+01   8.669276e-05   9.645973e-05   5.250256e-07   4.906444e-07 
  1.643821e+01   8.244921e-05   9.175237e-05   5.250400e-07   4.906511e-07 
  1.677955e+01   8.038830e-05   8.929109e-05   5.250400e-07   4.906511e-07 
  1.689752e+01   7.678205e-05   8.515609e-05   5.250523e-07   4.906538e-07 
  1.701295e+01   7.347099e-05   8.132519e-05   5.250631e-07   4.906556e-07 
  1.712838e+01   7.041143e-05   7.774908e-05   5.250723e-07   4.906566e-07 
  1.724381e+01   6.758077e-05   7.440404e-05   5.250803e-07   4.906569e-07 
  1.735924e+01   6.496005e-05   7.127015e-05   5.250872e-07   4.906569e-07 
  1.747467e+01   6.253320e-05   6.833056e-05   5.250931e-07   4.906564e-07 
  1.759010e+01   6.028651e-05   6.557096e-05   5.250983e-07   4.906558e-07 
  1.770553e+01   5.820816e-05   6.297911e-05   5.251028e-07   4.906549e-07 
  1.782350e+01   5.627691e-05   6.052446e-05   5.251065e-07   4.906538e-07 
  1.816034e+01   5.503172e-05   5.796456e-05   5.251065e-07   4.906538e-07 
  1.827831e+01   5.352352e-05   5.589687e-05   5.251093e-07   4.906522e-07 
  1.839374e+01   5.215705e-05   5.398565e-05   5.251116e-07   4.906505e-07 
  1.850917e+01   5.091719e-05   5.220599e-05   5.251136e-07   4.906488e-07 
  1.862460e+01   4.979704e-05   5.055202e-05   5.251153e-07   4.906471e-07 
  1.874003e+01   4.879018e-05   4.901855e-05   5.251166e-07   4.906455e-07 
  1.885546e+01   4.789060e-05   4.760089e-05   5.251177e-07   4.906439e-07 
  1.897089e+01   4.709258e-05   4.629480e-05   5.251186e-07   4.906423e-07 
  1.908632e+01   4.639066e-05   4.509636e-05   5.251192e-07   4.906408e-07 
  1.920429e+01   4.578396e-05   4.399512e-05   5.251197e-07   4.906394e-07 
  1.954548e+01   4.663212e-05   4.335588e-05   5.251197e-07   4.906394e-07 
  1.966345e+01   4.631139e-05   4.259102e-05   5.251196e-07   4.906380e-07 
  1.977888e+01   4.605241e-05   4.192089e-05   5.251193e-07   4.906367e-07 
  1.989431e+01   4.585851e-05   4.133872e-05   5.251190e-07   4.906354e-07 
  2.000974e+01   4.572501e-05   4.084038e-05   5.251185e-07   4.906342e-07 
  2.012517e+01   4.564745e-05   4.042180e-05   5.251179e-07   4.906330e-07 
  2.024060e+01   4.562162e-05   4.007889e-05   5.251173e-07   4.906320e-07 
  2.035603e+01   4.564350e-05   3.980759e-05   5.251166e-07   4.906310e-07 
  2.047146e+01   4.570931e-05   3.960385e-05   5.251158e-07   4.906300e-07 
  2.058943e+01   4.583119e-05   3.947240e-05   5.251150e-07   4.906292e-07 
  2.092959e+01   4.808524e-05   4.086994e-05   5.251150e-07   4.906292e-07 
  2.104756e+01   4.833584e-05   4.094961e-05   5.251138e-07   4.906285e-07 
  2.116299e+01   4.859436e-05   4.106296e-05   5.251126e-07   4.906279e-07 
  2.127842e+01   4.887617e-05   4.121837e-05   5.251114e-07   4.906273e-07 
  2.139385e+01   4.917897e-05   4.141235e-05   5.251101e-07   4.906268e-07 
  2.150928e+01   4.950063e-05   4.164160e-05   5.251088e-07   4.906263e-07 
  2.162471e+01   4.983920e-05   4.190302e-05   5.251075e-07   4.906259e-07 
  2.174014e+01   5.019289e-05   4.219369e-05   5.251062e-07   4.906256e-07 
  2.185557e+01   5.056005e-05   4.251088e-05   5.251048e-07   4.906253e-07 
  2.197354e+01   5.095935e-05   4.286967e-05   5.251035e-07   4.906251e-07 
  2.231046e+01   5.369587e-05   4.531013e-05   5.251035e-07   4.906251e-07 
  2.242843e+01   5.413462e-05   4.574887e-05   5.251019e-07   4.906250e-07 
  2.254386e+01   5.455805e-05   4.618213e-05   5.251003e-07   4.906250e-07 
  2.265929e+01   5.498632e-05   4.662742e-05   5.250988e-07   4.906251e-07 
  2.277472e+01   5.541864e-05   4.708325e-05   5.250972e-07   4.906252e-07 
  2.289015e+01   5.585428e-05   4.754827e-05   5.250956e-07   4.906253e-07 
  2.300558e+01   5.629256e-05   4.802123e-05   5.250941e-07   4.906255e-07 
  2.312101e+01   5.673290e-05   4.850101e-05   5.250925e-07   4.906257e-07 
  2.323644e+01   5.717474e-05   4.898658e-05   5.250909e-07   4.906259e-07 
  2.335441e+01   5.763850e-05   4.949741e-05   5.250894e-07   4.906262e-07 
  2.369852e+01   6.049319e-05   5.230557e-05   5.250894e-07   4.906262e-07 
  2.381649e+01   6.096159e-05   5.283544e-05   5.250877e-07   4.906267e-07 
  2.393192e+01   6.140744e-05   5.334511e-05   5.250861e-07   4.906272e-07 
  2.404735e+01   6.185171e-05   5.385511e-05   5.250844e-07   4.906277e-07 
  2.416278e+01   6.229420e-05   5.436497e-05   5.250827e-07   4.906283e-07 
  2.427821e+01   6.273469e-05   5.487429e-05   5.250811e-07   4.906289e-07 
  2.439364e+01   6.317302e-05   5.538268e-05   5.250794e-07   4.906295e-07 
  2.450907e+01   6.360902e-05   5.588982e-05   5.250778e-07   4.906301e-07 
  2.462450e+01   6.404256e-05   5.639542e-05   5.250762e-07   4.906308e-07 
